id_pedido,data_pedido,cliente_id,produto_categoria,valor_venda,pagamento,status,mes_ano
1,2023-11-19,123,Casa,49.68,Pix,Cancelado,2023-11
2,2023-02-25,144,Eletrônicos,421.85,Boleto,Concluído,2023-02
3,2023-12-13,187,Eletrônicos,410.85,Boleto,Concluído,2023-12
4,2023-09-07,200,Casa,150.0,Cartão de Crédito,Cancelado,2023-09
5,2023-12-22,148,Moda,147.3,Cartão de Crédito,Cancelado,2023-12
6,2023-06-25,145,Alimentos,357.22,Cartão de Crédito,Cancelado,2023-06
7,2023-02-10,193,Alimentos,322.83,Boleto,Concluído,2023-02
8,2023-09-06,126,Alimentos,399.91,Boleto,Cancelado,2023-09
9,2023-08-31,182,Casa,105.63,Boleto,Concluído,2023-08
10,2023-02-13,178,Casa,109.67,Cartão de Crédito,Concluído,2023-02
11,2023-04-10,116,Eletrônicos,26.11,Pix,Concluído,2023-04
12,2023-04-21,188,Alimentos,78.17,Cartão de Crédito,Concluído,2023-04
13,2023-03-22,120,Moda,322.57,Boleto,Concluído,2023-03
14,2023-03-07,198,Casa,104.73,Cartão de Crédito,Concluído,2023-03
15,2023-08-03,154,Casa,464.59,Pix,Concluído,2023-08
16,2023-10-13,163,Moda,28.77,Cartão de Crédito,Concluído,2023-10
17,2023-01-01,191,Casa,96.61,Pix,Concluído,2023-01
18,2023-11-23,142,Eletrônicos,353.94,Boleto,Concluído,2023-11
19,2023-12-15,129,Alimentos,140.28,Pix,Concluído,2023-12
20,2023-12-16,105,Casa,314.1,Cartão de Crédito,Concluído,2023-12
21,2023-09-14,121,Casa,179.87,Pix,Concluído,2023-09
22,2023-09-23,121,Alimentos,397.53,Cartão de Crédito,Concluído,2023-09
23,2023-03-23,134,Alimentos,375.26,Pix,Concluído,2023-03
24,2023-05-28,136,Casa,499.4,Cartão de Crédito,Concluído,2023-05
25,2023-05-25,198,Alimentos,147.36,Boleto,Cancelado,2023-05
26,2023-04-21,116,Casa,159.41,Cartão de Crédito,Concluído,2023-04
27,2023-12-15,131,Casa,233.67,Cartão de Crédito,Concluído,2023-12
28,2023-06-10,126,Moda,450.07,Pix,Concluído,2023-06
29,2023-01-30,179,Alimentos,255.308,Pix,Cancelado,2023-01
30,2023-11-11,108,Moda,41.1,Boleto,Cancelado,2023-11
31,2023-07-02,175,Eletrônicos,175.64,Boleto,Concluído,2023-07
32,2023-02-19,138,Casa,420.97,Pix,Concluído,2023-02
33,2023-03-10,135,Moda,335.79,Pix,Concluído,2023-03
34,2023-01-13,129,Alimentos,70.63,Cartão de Crédito,Concluído,2023-01
35,2023-12-14,147,Casa,284.38,Cartão de Crédito,Cancelado,2023-12
36,2023-08-23,161,Casa,439.19,Cartão de Crédito,Cancelado,2023-08
37,2023-09-20,142,Casa,291.3,Pix,Cancelado,2023-09
38,2023-05-01,191,Alimentos,32.07,Boleto,Concluído,2023-05
39,2023-10-11,167,Alimentos,423.78,Boleto,Concluído,2023-10
40,2023-05-05,189,Eletrônicos,383.6,Cartão de Crédito,Concluído,2023-05
41,2023-01-27,173,Casa,255.308,Cartão de Crédito,Concluído,2023-01
42,2023-03-17,103,Alimentos,87.54,Pix,Cancelado,2023-03
43,2023-01-07,157,Alimentos,319.66,Pix,Concluído,2023-01
44,2023-08-26,145,Alimentos,162.06,Cartão de Crédito,Cancelado,2023-08
45,2023-05-04,105,Alimentos,339.34,Cartão de Crédito,Cancelado,2023-05
46,2023-10-24,186,Moda,154.86,Boleto,Cancelado,2023-10
47,2023-11-07,115,Alimentos,136.47,Cartão de Crédito,Concluído,2023-11
48,2023-05-05,102,Eletrônicos,362.61,Pix,Concluído,2023-05
49,2023-11-23,114,Eletrônicos,469.53,Boleto,Cancelado,2023-11
50,2023-07-29,133,Casa,306.76,Boleto,Concluído,2023-07
